Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL In CharityNavigator
3821,Alexander Muss Institute for Israel Education, 78 Randall Avenue,http://www.amiie.org/,4 stars,"$9,130,046 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3821
12443,Alex's Lemonade Stand Foundation, 333 East Lancaster Avenue,http://www.alexslemonade.org,4 stars,"$13,120,415 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12443
8198,All Classical Portland, 211 Southeast Caruthers Street,http://www.allclassical.org,4 stars,"$4,399,320 ",Arts Culture Humanities : Public Broadcasting and Media,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8198
11632,All Faiths Food Bank, 8171 Blaikie Ct.,http://allfaithsfoodbank.org,4 stars,"$11,981,259 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11632
6987,All God's Children, P.O. Box 5909,http://www.agcltd.org,4 stars,"$1,165,375 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6987
13109,All Hands Volunteers, 6 County Road,http://hands.org/,4 stars,"$3,695,089 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13109
14495,All Our Kin, 414A Chapel Street,http://allourkin.org/,4 stars,"$1,550,336 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14495
10827,Allen Community Outreach, 801 East Main Street,http://www.acocares.org,4 stars,"$1,568,544 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10827
5453,Alley Cat Allies, 7920 Norfolk Avenue,http://www.alleycat.org,4 stars,"$7,227,086 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5453
7881,Alley Theatre, 615 Texas Avenue,http://www.alleytheatre.org/,4 stars,"$31,687,722 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7881
14546,Alliance for a Just Society, 3518 South Edmunds Street,http://allianceforajustsociety.org/,4 stars,"$2,829,959 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14546
11514,Alliance for Children Everywhere, P.O. Box 12250,http://www.childreneverywhere.org,4 stars,"$1,426,142 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11514
6569,Alliance for Children's Rights, 3333 Wilshire Boulevard,http://www.kids-alliance.org/,4 stars,"$4,825,864 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6569
7083,Alliance for Justice, 11 Dupont Circle NW,http://www.afj.org/,4 stars,"$3,909,980 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7083
11613,Alliance For The Great Lakes, 150 North Michigan Avenue,http://www.greatlakes.org,4 stars,"$2,816,669 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11613
9362,Alliance of Resident Theatres/New York, 520 Eighth Avenue Suite 319,http://www.art-newyork.org/,4 stars,"$4,937,853 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9362
14893,Almost Heaven Habitat for Humanity, 202 North Main Street,http://almostheavenhabitat.org/,4 stars,"$1,313,814 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14893
5895,Aloha United Way, 200 North Vineyard Boulevard,http://www.auw.org,4 stars,"$16,294,229 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5895
8023,Alpha House of Tampa, 201 South Tampania Avenue,http://www.alphahouseoftampa.org/,4 stars,"$1,730,951 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8023
12977,Alpha-1 Association, 2937 Southwest 27th Avenue,http://www.alpha1.org,4 stars,"$1,484,928 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12977
9287,Alpha-1 Foundation, 3300 Ponce de Leon Blvd.,http://www.alpha-1foundation.org,4 stars,"$7,238,423 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9287
3296,The ALS Association National Office, 1275 K Street NW,http://www.alsa.org,4 stars,"$24,030,687 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3296
11938,The ALS Association Golden West Chapter, P.O. Box 565,http://www.alsagoldenwest.org,4 stars,"$3,459,762 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11938
11405,The ALS Association Greater New York Chapter, 42 Broadway,http://www.als-ny.org,4 stars,"$3,141,543 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11405
9517,ALS Association Minnesota/North Dakota/South Dakota Chapter, 333 North Washington Avenue,http://www.alsmn.org/,4 stars,"$3,657,851 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9517
11766,ALS Therapy Development Institute, 300 Technology Square,https://www.als.net/,4 stars,"$11,569,062 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11766
12763,Alternative House, P.O. Box 694,http://www.thealternativehouse.org/,4 stars,"$2,054,792 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12763
5483,The Alumni Association of the University of Virginia, 211 Emmet Street S,,4 stars,"$57,323,390 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5483
8185,Alvin Ailey Dance Foundation, The Joan Weill Center for Dance,http://www.alvinailey.org/,4 stars,"$39,092,241 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8185
12848,Alzheimer's Association, 225 North Michigan Avenue,http://www.alz.org,4 stars,"$268,920,015 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12848
10791,Alzheimer's Foundation of America, 322 Eighth Avenue,http://www.alzfdn.org,4 stars,"$5,717,912 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10791
8184,America-Israel Cultural Foundation, 1140 Broadway,http://www.aicf.org/,4 stars,"$3,064,054 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8184
9323,American Academy of Arts and Sciences, 136 Irving Street,http://www.amacad.org/,4 stars,"$11,463,435 ",Public Benefit : Research and Public Policy Institutions,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9323
3239,American Association for the Advancement of Science, 1200 New York Avenue NW,http://www.aaas.org,4 stars,"$97,560,704 ",Public Benefit : Research and Public Policy Institutions,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3239
5439,American Bird Conservancy, P.O. Box 249,http://www.abcbirds.org,4 stars,"$8,736,690 ",Animals : Wildlife Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5439
7026,The American Chestnut Foundation, 50 North Merrimon Avenue,http://www.acf.org/,4 stars,"$2,313,356 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7026
14036,The American Civil War Center At Historic Tredegar, 490 Tredegar Street,http://www.tredegar.org/,4 stars,"$3,095,392 ",Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14036
12062,American Council for an Energy-Efficient Economy, 529 14th Street N.W.,http://www.aceee.org,4 stars,"$7,430,165 ",Public Benefit : Research and Public Policy Institutions,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12062
9258,American Documentary, 20 Jay Street,http://amdoc.org,4 stars,"$3,744,008 ",Arts Culture Humanities : Public Broadcasting and Media,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9258
14173,American Eagle Foundation, Post Office Box 333,http://www.eagles.org/,4 stars,"$1,166,451 ",Animals : Wildlife Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14173
3253,American Family Association, 107 Parkgate Drive,http://www.afa.net,4 stars,"$20,235,585 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3253
4973,American Federation for Aging Research, 55 West 39th Street,http://www.afar.org,4 stars,"$12,469,952 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4973
5418,American Forest Foundation, 2000 M Street NW,http://www.forestfoundation.org/,4 stars,"$6,020,050 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5418
6745,American Foundation for Suicide Prevention, 120 Wall Street,http://www.afsp.org/,4 stars,"$9,978,240 ",Health : Treatment and Prevention Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6745
8349,American Friends of the Israel Philharmonic Orchestra, 122 East 42nd Street,http://afipo.org,4 stars,"$9,552,187 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8349
12469,American Friends of The Tel Aviv University, 39 Broadway Suite 1510,http://www.aftau.org,4 stars,"$24,886,619 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12469
8823,American Friends of Yad Eliezer, 1102 East 26th Street,http://www.af-ye.org/,4 stars,"$19,516,635 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8823
15472,American Immigration Council, 1331 G Street NW,http://www.americanimmigrationcouncil.org/,4 stars,"$2,942,528 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15472
4527,American Ireland Fund, 211 Congress Street,http://theirelandfunds.org/,4 stars,"$20,282,500 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4527
3268,American Jewish Joint Distribution Committee, 711 Third Ave,http://www.jdc.org,4 stars,"$316,241,721 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3268
3269,American Jewish World Service, 45 West 36th Street,http://www.ajws.org,4 stars,"$51,185,141 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3269
5005,American Kennel Club Canine Health Foundation, 8051 Arco Corporate Drive,,4 stars,"$3,167,320 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5005
3270,American Kidney Fund, 11921 Rockville Pike,http://www.kidneyfund.org/,4 stars,"$186,648,599 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3270
7749,American Lung Association of the Northeast, 45 Ash Street,http://www.lung.org/associations/charters/northeast/,4 stars,"$16,359,208 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7749
12950,American Lung Association of the Upper Midwest, 13100 West Lisbon Road,http://www.lung.org/associations/charters/upper-midwest/,4 stars,"$23,541,276 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12950
3276,American Museum of Natural History, Central Park West at 79th Street,http://www.amnh.org,4 stars,"$175,626,383 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3276
10952,American Nonsmokers' Rights Foundation, 2530 San Pablo Avenue,http://www.no-smoke.org,4 stars,"$1,446,241 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10952
3284,American Refugee Committee International, 615 1st Ave. NE,,4 stars,"$34,008,768 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3284
13861,American Relief Agency for the Horn of Africa (ARAHA), 3900 Jackson St. NE,https://www.araha.org/,4 stars,"$5,444,214 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13861
8318,American Society for Yad Vashem, 500 Fifth Avenue,http://www.yadvashemusa.org/,4 stars,"$13,098,498 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8318
6737,American Society of Transplant Surgeons, 2461 South Clark Street,http://www.asts.org/,4 stars,"$4,978,269 ",Health : Treatment and Prevention Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6737
7020,American Swedish Institute, 2600 Park Avenue,http://www.americanswedishinst.org/,4 stars,"$6,422,174 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7020
11813,American Thyroid Association, 6066 Leesburg Pike,http://www.thyroid.org,4 stars,"$2,617,251 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11813
5281,American Veterinary Medical Foundation, 1931 North Meacham Road,,4 stars,"$6,666,369 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5281
7797,American Whitewater, 629 West Main Street,,4 stars,"$1,197,774 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7797
8122,American Youth Foundation, 6357 Clayton Road,http://www.ayf.com/,4 stars,"$5,323,226 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8122
3288,American-Scandinavian Foundation, 58 Park Avenue,http://www.amscan.org,4 stars,"$3,932,629 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3288
3289,AmeriCares, 88 Hamilton Avenue,http://www.americares.org,4 stars,"$621,850,823 ",International : Humanitarian Relief Supplies,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3289
8997,America's Second Harvest of the Big Bend, 110 Four Points Way,http://www.fightinghunger.org/,4 stars,"$11,631,023 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8997
3254,amfAR, 120 Wall Street,http://www.amfar.org,4 stars,"$27,192,308 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3254
5662,Amigos de las Américas, 5618 Star Lane,http://www.amigoslink.org,4 stars,"$4,125,996 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5662
8280,Amigos for Christ, 1845 South Lee Court,http://www.amigosforchrist.org/,4 stars,"$5,130,085 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8280
11335,Amigos For Kids, 2153 Coral Way,http://www.amigosforkids.org/,4 stars,"$1,319,371 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11335
3293,AMIT, 817 Broadway,http://www.amitchildren.org,4 stars,"$8,543,270 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3293
4943,Amref Health Africa, 4 West 43rd Street,https://www.amrefusa.org,4 stars,"$10,261,791 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4943
10250,Anacostia Watershed Society, 4302 Baltimore Avenue,http://www.anacostiaws.org,4 stars,"$1,915,598 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10250
11625,Anchor Center for Blind Children, 2550 Roslyn St,http://www.anchorcenter.org,4 stars,"$2,721,143 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11625
13261,And Justice for All, 205 North 400 West,http://www.andjusticeforall.org/index.html,4 stars,"$1,388,386 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13261
8229,Andrew Glover Youth Program, 100 Centre Street,http://www.agyp.org,4 stars,"$1,283,925 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8229
6388,Andrew Wommack Ministries, 850 Elkton Drive,,4 stars,"$40,177,430 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6388
3278,ANERA, 1111 14th Street NW,http://www.anera.org,4 stars,"$67,757,838 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3278
15140,Angel Foundation, 700 South Third Street,http://www.mnangel.org/,4 stars,"$2,020,730 ",Health : Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15140
13974,Angiogenesis Foundation, One Broadway 14th Floor,http://www.angio.org/,4 stars,"$3,010,395 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13974
13857,Animal Allies Humane Society, 4006 Airport Road,http://www.animalallies.net/,4 stars,"$1,712,960 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13857
6105,Animal Friends, Caryl Gates Gluck Resource Center,http://www.thinkingoutsidethecage.org/,4 stars,"$4,738,973 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6105
5744,Animal Humane New Mexico, 615 Virginia St. SE,http://www.animalhumanenm.org,4 stars,"$6,648,162 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5744
6869,Animal Rescue Fund of the Hamptons, Daniel's Hole Road,http://www.arfhamptons.org/,4 stars,"$2,239,335 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6869
6104,Animal Rescue League Shelter and Wildlife Center, 6620 Hamilton Avenue,http://www.animalrescue.org,4 stars,"$4,587,407 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6104
11768,Animal Shelter of the Wood River Valley, 100 Croy Creek Road,http://www.animalshelterwrv.org,4 stars,"$1,576,312 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11768
6787,Animal Welfare Association, 509 Centennial Boulevard,http://awanj.org,4 stars,"$3,028,444 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6787
7152,Animal Welfare League of Arlington, 2650 South Arlington Mill Drive,http://www.awla.org,4 stars,"$2,834,861 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7152
6840,Animal Welfare Society, 46 Holland Road,,4 stars,"$2,159,681 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6840
12086,Anita Borg Institute, 1501 Page Mill Road,http://www.anitaborg.org,4 stars,"$6,304,009 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12086
9985,Anthony Robbins Foundation, 9672 Via Excelencia,http://anthonyrobbinsfoundation.org,4 stars,"$3,191,879 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9985
10160,Aplastic Anemia & MDS International Foundation, 100 Park Avenue,http://www.aamds.org,4 stars,"$4,391,197 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10160
8697,Appalachia Service Project, 4523 Bristol Highway,http://www.asphome.org,4 stars,"$7,848,693 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8697
3304,Appalachian Mountain Club, Five Joy Street,http://www.outdoors.org,4 stars,"$21,712,358 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3304
8239,Appalachian Trail Conservancy, 799 Washington Street,http://www.appalachiantrail.org,4 stars,"$6,185,949 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8239
10854,Appalachian Voices, 171 Grand Blvd.,http://www.appvoices.org/,4 stars,"$1,300,054 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10854
5213,Aquarium of the Pacific, 100 Aquarium Way,,4 stars,"$36,085,871 ",Animals : Zoos and Aquariums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5213
5866,Archaeological Conservancy, 5301 Central Avenue NE,http://www.americanarchaeology.com,4 stars,"$3,784,290 ",Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5866
7500,The Archer School for Girls, 11725 Sunset Boulevard,http://www.archer.org/,4 stars,"$22,397,511 ",Education : Private Elementary and Secondary Schools,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7500
11671,Architecture for Humanity, 26 O'Farrell Street,http://www.architectureforhumanity.org,4 stars,"$12,011,838 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11671
3305,Arizona Community Foundation, 2201 East Camelback Road,http://www.azfoundation.org,4 stars,"$68,455,478 ",Public Benefit : Community Foundations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3305
10720,The ARK, 6450 North California Avenue,http://www.arkchicago.org,4 stars,"$5,354,842 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10720
10874,Arkansas Foodbank, 4301 West 65th Street,http://www.arkansasfoodbank.org,4 stars,"$29,982,782 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10874
12541,Arlington Street People's Assistance Network, 2708-B South Nelson Street,,4 stars,"$2,140,830 ",Human Services : Homeless Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12541
12442,Armed Forces Foundation, 16 North Carolin Avenue SE,http://www.armedforcesfoundation.org/,4 stars,"$9,987,784 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12442
7403,Armed Services YMCA, 7405 Alban Station Court,http://www.asymca.org/,4 stars,"$23,672,973 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7403
3313,Arthritis Foundation - Pacific Region, 800 West Sixth Street,http://www.arthritis.org/california/regional-headquarters/,4 stars,"$13,827,256 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3313
12310,Arthritis National Research Foundation, 200 Oceangate,http://www.curearthritis.org/,4 stars,"$1,301,165 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12310
9330,Artists For Humanity, 100 West Second Street,http://www.afhboston.org,4 stars,"$3,060,955 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9330
3314,Arts & Science Council, 227 West Trade Street,http://www.artsandscience.org/,4 stars,"$15,432,037 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3314
12289,ArtsinStark, 900 Cleveland Avenue NW,,4 stars,"$2,829,514 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12289
14671,Arvada Community Food Bank, 8555 West 57th Avenue,http://www.arvadacommunityfoodbank.org/,4 stars,"$2,079,920 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14671
12352,Asheville Humane Society, 14 Forever Friend Land,http://www.ashevillehumane.org/,4 stars,"$2,117,572 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12352
5389,Ashoka, 1700 North Moore Street,http://www.ashoka.org,4 stars,"$30,653,653 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5389
3315,The Asia Foundation, 465 California Street,,4 stars,"$149,080,344 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3315
12590,Asian & Pacific Islander American Scholarship Fund, 2025 M Street NW,http://apiasf.org,4 stars,"$15,099,977 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12590
5890,Asian Access, 17100 Pioneer Blvd,,4 stars,"$4,997,696 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5890
5107,Aspen Center for Environmental Studies, 100 Puppy Smith Street,http://www.aspennature.org,4 stars,"$2,290,256 ",Environment : Botanical Gardens Parks and Nature Centers,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5107
4528,The Aspen Institute, One Dupont Circle NW,http://www.aspeninstitute.org,4 stars,"$95,477,286 ",Public Benefit : Research and Public Policy Institutions,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4528
4143,Aspen Music Festival and School, Two Music School Road,http://www.aspenmusicfestival.com,4 stars,"$35,478,805 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4143
3319,Assist International, 230 Mount Hermon Road,,4 stars,"$13,610,056 ",International : Humanitarian Relief Supplies,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3319
11440,The Associated: Jewish Community Federation of Baltimore, 101 West Mount Royal Avenue,http://www.associated.org,4 stars,"$86,132,899 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11440
9241,Association of Gospel Rescue Missions, 7222 Commerce Center Drive Suite 120,http://www.agrm.org,4 stars,"$1,719,140 ",Human Services : Homeless Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9241
8396,Association of Graduates of the United States Air Force Academy, 3116 Academy Drive,http://www.usafa.org/,4 stars,"$6,092,834 ",Education : Universities Graduate Schools and Technological Institutes,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8396
6613,Association to Benefit Children, 419 East 86th Street,http://www.a-b-c.org,4 stars,"$14,892,283 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6613
8820,Astraea Lesbian Foundation for Justice, 116 East Sixteenth Street,http://www.astraeafoundation.org,4 stars,"$5,129,958 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8820
11358,ASU Foundation, 300 East University Drive,,4 stars,"$115,022,499 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11358
10806,Atlanta Children's Shelter, 607 Peachtree Street NE,http://www.acsatl.org,4 stars,"$1,520,090 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10806
3327,Atlanta Community Food Bank, 732 Joseph E. Lowery Boulevard NW,http://www.acfb.org,4 stars,"$94,522,819 ",Human Services : Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3327
7203,Atlanta Habitat for Humanity, 519 Memorial Drive SE,http://www.atlantahabitat.org/,4 stars,"$19,075,148 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7203
3328,Atlanta Humane Society, 981 Howell Mill Road NW,http://www.atlantahumane.org,4 stars,"$7,965,656 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3328
10435,Atlas Economic Research Foundation (Atlas Network), 1201 L Street NW,http://atlasnetwork.org/,4 stars,"$8,651,314 ",Public Benefit : Research and Public Policy Institutions,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10435
3332,Audubon Nature Institute, 6500 Magazine Street,http://www.auduboninstitute.org,4 stars,"$33,259,354 ",Animals : Zoos and Aquariums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3332
7422,Audubon Society of Portland, 5151 Northwest Cornell Road,http://www.audubonportland.org/,4 stars,"$2,646,448 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7422
